'Reference';'Value';'Datasheet';'Footprint';'Qty';'DNP',,,
'ADDR0';'JUMPER-SMT_3_NO_SILK';'';'TSW-103-07-L-S:CON3_1X3_TU_TSW';'1';'',,,
'C1,C14,C15';'0.1uF';'';'-- mixed values --';'3';'',LMK105BJ104KV-F
'C3,C8';'22uF';'';'GRM32ER61C226KE20L:G-32_MUR';'2';'',,
'C16,C17';'2.2uF';'';'C3216X7R1H225K160AB:CAP_3216_TDK';'2';'',,
'D1';'Red';'';'APTD1608SURCK:LED_APTD1608SURCK_KNB';'1';'',,,
'I2C0';'JUMPER-SMT_3_2-NC_TRACE_SILK';'';'TSW-103-07-L-S:CON3_1X3_TU_TSW';'1';'',,,
'J2,J5,J6';'SM04B-GHS-TB_LF__SN_-';'';'SM04B-GHS-TB_LF__SN_-:JST_SM04B-GHS-TB_LF__SN_-';'3';'',
'J3';'SM10B-GHS-TB_LF__SN_';'';'SM10B-GHS-TB_LF__SN_:JST_SM10B-GHS-TB_LF__SN_';'1';'',,,
'J7';'SM08B-GHS-TB_LF__SN_';'';'SM08B-GHS-TB_LF__SN_:JST_SM08B-GHS-TB_LF__SN_';'1';'',,,
'J8';'GSB1C4621DS1HR';'';'GSB1C4621DS1HR:AMPHENOL_GSB1C4621DS1HR';'1';'',,,
"Keystone Electronics
5100TR",SHLD0,WU0';'JUMPER-SMT_2_NC_TRACE_SILK';'';'ul_5104:JP_5104_KEY';'3';'',
'R7,R8';'5.1k';'';'RC0805FR-075K1L:CAP_GRM155R71E104KE14D_MUR-M';'2';'',,
'R9';'4.7k';'';'RC0603FR-074K7L:RESC1607X60N';'1';'',,,
'R11,R12';'2.2k';'';'RC0603FR-072K2L:RC0603N_YAG-M';'2';'',,
'S1,S2';'MOMENTARY-SWITCH-SPST-2-SMD-5.2MM';'';'B3U-3000P:B3U-3000P';'2';'',,
'U1';'XM125';'';'XM-125:XM125_ACC';'1';'',,,
'U2';'AMS1117-3.3';'http://www.advanced-monolithic.com/pdf/ds1117.pdf';'Package_TO_SOT_SMD:SOT-223-3_TabPin2';'1';'',,,
'U3';'AMS1117-1.8';'http://www.advanced-monolithic.com/pdf/ds1117.pdf';'Package_TO_SOT_SMD:SOT-223-3_TabPin2';'1';'',,,
'U4';'CH340C';'';'MAX3232CPE+:21-0043D_16_MXM';'1';'',,,
'U5';'ESD Diode';'';'DT1042-04SO-7:SOT95P285X140-6N';'1';'',,,
